EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2023
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AKUREYRI, ICELAND (STAID: 2943)
Blended and updated with sources:75821 904063 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
  2943, 75821,19500209,   45,    0
  2943, 75821,19500210,   30,    0
  2943, 75821,19500211,   15,    0
  2943, 75821,19500212,  -30,    0
  2943, 75821,19500213,  -15,    0
  2943, 75821,19500214,  -15,    0
  2943, 75821,19500215,   18,    0
  2943, 75821,19500216,   25,    0
  2943, 75821,19500217,   10,    0
  2943, 75821,19500218,  -25,    0
  2943, 75821,19500219,  -25,    0
  2943, 75821,19500220,   15,    0
  2943, 75821,19500221,   30,    0
  2943, 75821,19500222,  -70,    0
  2943, 75821,19500223,  -90,    0
  2943, 75821,19500224,  -80,    0
  2943, 75821,19500225,   -5,    0
  2943, 75821,19500226,   40,    0
  2943, 75821,19500227,   56,    0
  2943, 75821,19500228,   55,    0
  2943, 75821,19500301,   60,    0
  2943, 75821,19500302,   50,    0
  2943, 75821,19500303,   20,    0
  2943, 75821,19500304,   45,    0
  2943, 75821,19500305,   50,    0
  2943, 75821,19500306,   15,    0
  2943, 75821,19500307,  -10,    0
  2943, 75821,19500308,   52,    0
  2943, 75821,19500309,   35,    0
  2943, 75821,19500310,   85,    0
  2943, 75821,19500311,   75,    0
  2943, 75821,19500312,  -22,    0
  2943, 75821,19500313,  -35,    0
  2943, 75821,19500314,  -35,    0
  2943, 75821,19500315,  -40,    0
  2943, 75821,19500316,    3,    0
  2943, 75821,19500317,    5,    0
  2943, 75821,19500318,   -8,    0
  2943, 75821,19500319,  -20,    0
  2943, 75821,19500320,   25,    0
  2943, 75821,19500321,   20,    0
  2943, 75821,19500322,   75,    0
  2943, 75821,19500323,   70,    0
  2943, 75821,19500324,   70,    0
  2943, 75821,19500325,   50,    0
  2943, 75821,19500326,   50,    0
  2943, 75821,19500327,   64,    0
  2943, 75821,19500328,  100,    0
  2943, 75821,19500329,  100,    0
  2943, 75821,19500330,  100,    0
  2943, 75821,19500331,   55,    0
  2943, 75821,19500401,   14,    0
  2943, 75821,19500402,   15,    0
  2943, 75821,19500403,    5,    0
  2943, 75821,19500404,   -5,    0
  2943, 75821,19500405,   30,    0
  2943, 75821,19500406,   42,    0
  2943, 75821,19500407,   45,    0
  2943, 75821,19500408,   40,    0
